,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.16,0.18,0.09,0.1,0.13,0.11,0.14,0.09,0.47,0.2,0.19,0.21,0.16,0.15,0.17
identified_templates,8.0,113.0,6.0,48.0,118.0,74.0,39.0,47.0,336.0,71.0,30.0,155.0,109.0,14.0,83.429
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.862,1.0,0.986,0.946,0.999,0.924,0.994,0.899,0.553,0.922,0.979,0.96,1.0,0.93
PA,0.0,0.209,0.27,0.665,0.17,0.528,0.018,0.726,0.439,0.128,0.396,0.439,0.557,0.166,0.337
FGA,1.0,0.892,1.0,0.837,0.888,0.98,0.878,0.968,0.904,0.392,0.818,0.855,0.838,1.0,0.875
PTA,0.0,0.584,0.167,0.521,0.305,0.703,0.077,0.681,0.458,0.056,0.4,0.497,0.651,0.143,0.374
RTA,0.0,0.559,0.167,0.5,0.316,0.693,0.07,0.696,0.452,0.154,0.333,0.517,0.592,0.143,0.371
FTA,0.0,0.571,0.167,0.51,0.31,0.698,0.073,0.688,0.455,0.082,0.364,0.507,0.62,0.143,0.371
