,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.58,0.87,1.04,1.77,4.59,3.91,8.19,7.29,5.06,17.88,390.05,469.01,111.98,298.2,94.316
identified_templates,8.0,373.0,32.0,76.0,302.0,159.0,44.0,78.0,681.0,1594.0,374.0,8457.0,434.0,41.0,903.786
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.357,0.997,0.985,0.582,0.94,0.93,0.709,0.803,0.308,0.973,0.577,0.869,1.0,0.754
PA,0.503,0.065,0.094,0.815,0.246,0.476,0.019,0.688,0.374,0.093,0.414,0.183,0.441,0.444,0.347
FGA,0.737,0.81,0.918,0.848,0.654,0.838,0.891,0.724,0.757,0.031,0.59,0.161,0.554,0.851,0.669
PTA,0.5,0.343,0.344,0.724,0.242,0.409,0.114,0.551,0.345,0.007,0.219,0.038,0.346,0.463,0.332
RTA,0.364,0.379,0.379,0.618,0.309,0.417,0.104,0.581,0.375,0.289,0.347,0.262,0.469,0.413,0.379
FTA,0.421,0.36,0.361,0.667,0.271,0.413,0.109,0.566,0.36,0.013,0.269,0.067,0.398,0.437,0.337
