Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.12,6,8,0.976,0.000,0.714,0.000,0.000,0.000
Linux,0.19,104,118,0.686,0.210,0.865,0.596,0.525,0.559
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.14,47,50,0.987,0.666,0.845,0.532,0.500,0.515
Hadoop,0.16,113,114,0.921,0.167,0.811,0.283,0.281,0.282
HealthApp,0.12,70,75,0.986,0.519,0.897,0.657,0.613,0.634
OpenStack,0.18,36,43,0.871,0.018,0.810,0.083,0.070,0.076
HPC,0.11,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.31,294,341,0.823,0.408,0.787,0.429,0.370,0.397
OpenSSH,0.12,22,26,0.538,0.128,0.667,0.182,0.154,0.167
Spark,0.13,29,36,0.920,0.396,0.769,0.414,0.333,0.369
Thunderbird,0.15,166,149,0.915,0.380,0.844,0.494,0.550,0.521
BGL,0.16,92,120,0.870,0.498,0.632,0.543,0.417,0.472
HDFS,0.14,13,14,0.731,0.166,0.889,0.154,0.143,0.148
