Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.16,11,8,0.526,0.000,0.737,0.000,0.000,0.000
Linux,0.14,124,118,0.418,0.139,0.868,0.500,0.525,0.512
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,52,50,0.991,0.670,0.882,0.558,0.580,0.569
Hadoop,0.15,114,114,0.973,0.170,0.930,0.316,0.316,0.316
HealthApp,0.12,72,75,0.901,0.430,0.939,0.667,0.640,0.653
OpenStack,0.18,41,43,0.491,0.018,0.952,0.073,0.070,0.071
HPC,0.11,43,46,0.909,0.872,0.921,0.767,0.717,0.742
Mac,0.24,342,341,0.906,0.421,0.914,0.444,0.446,0.445
OpenSSH,0.12,31,26,0.433,0.073,0.667,0.129,0.154,0.140
Spark,0.11,33,36,0.922,0.396,0.783,0.364,0.333,0.348
Thunderbird,0.17,175,149,0.975,0.443,0.852,0.486,0.570,0.525
BGL,0.15,120,120,0.950,0.918,0.858,0.600,0.600,0.600
HDFS,0.13,14,14,1.000,0.000,1.000,0.000,0.000,0.000
