Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.60,6,11,0.505,0.494,0.471,0.333,0.182,0.235
Linux,1.01,366,338,0.365,0.066,0.744,0.287,0.311,0.298
Apache,0.91,29,29,1.000,0.094,1.000,0.379,0.379,0.379
Zookeeper,1.67,76,89,0.986,0.816,0.848,0.737,0.629,0.679
Hadoop,4.09,284,236,0.842,0.245,0.681,0.250,0.301,0.273
HealthApp,3.67,156,156,0.929,0.480,0.846,0.449,0.449,0.449
OpenStack,8.17,41,48,0.881,0.019,0.831,0.122,0.104,0.112
HPC,7.73,77,74,0.710,0.708,0.702,0.545,0.568,0.556
Mac,5.15,613,626,0.794,0.366,0.738,0.356,0.348,0.352
OpenSSH,16.78,37,38,0.331,0.092,0.667,0.243,0.237,0.240
Spark,406.54,347,236,0.750,0.413,0.559,0.219,0.322,0.261
Thunderbird,469.26,8362,1241,0.678,0.218,0.151,0.036,0.243,0.063
BGL,109.33,390,320,0.745,0.349,0.504,0.315,0.384,0.346
HDFS,293.16,34,46,0.721,0.165,0.725,0.529,0.391,0.450
