,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.19,0.13,0.08,0.09,0.12,0.13,0.15,0.1,0.2,0.11,0.11,0.16,0.15,0.12,0.131
identified_templates,6.0,104.0,6.0,47.0,92.0,68.0,32.0,42.0,287.0,20.0,29.0,159.0,97.0,13.0,71.571
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.976,0.228,1.0,0.987,0.939,0.888,0.331,0.875,0.801,0.487,0.92,0.914,0.894,0.731,0.784
PA,0.0,0.198,0.27,0.666,0.166,0.422,0.018,0.856,0.386,0.073,0.396,0.379,0.875,0.0,0.336
FGA,0.714,0.838,1.0,0.845,0.796,0.853,0.693,0.886,0.761,0.696,0.769,0.857,0.71,0.889,0.808
PTA,0.0,0.558,0.167,0.532,0.326,0.618,0.094,0.762,0.418,0.2,0.414,0.503,0.567,0.0,0.369
RTA,0.0,0.492,0.167,0.5,0.263,0.56,0.07,0.696,0.352,0.154,0.333,0.537,0.458,0.0,0.327
FTA,0.0,0.523,0.167,0.515,0.291,0.587,0.08,0.727,0.382,0.174,0.369,0.519,0.507,0.0,0.346
