,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.67,0.66,1.16,1.49,4.09,4.17,8.65,7.1,2.76,17.76,353.02,447.02,110.82,290.53,89.35
identified_templates,6.0,366.0,29.0,76.0,226.0,146.0,38.0,70.0,614.0,34.0,348.0,8362.0,390.0,34.0,767.071
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.505,0.365,1.0,0.986,0.909,0.981,0.385,0.823,0.794,0.447,0.748,0.678,0.745,0.721,0.72
PA,0.0,0.065,0.093,0.504,0.245,0.476,0.019,0.88,0.359,0.15,0.413,0.193,0.717,0.0,0.294
FGA,0.471,0.744,1.0,0.848,0.844,0.841,0.744,0.792,0.734,0.75,0.555,0.151,0.504,0.725,0.693
PTA,0.0,0.276,0.31,0.566,0.314,0.445,0.132,0.614,0.321,0.265,0.216,0.035,0.321,0.0,0.273
RTA,0.0,0.299,0.31,0.483,0.301,0.417,0.104,0.581,0.315,0.237,0.318,0.234,0.391,0.0,0.285
FTA,0.0,0.287,0.31,0.521,0.307,0.43,0.116,0.597,0.318,0.25,0.257,0.06,0.352,0.0,0.272
