Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.21,6,8,0.976,0.000,0.714,0.000,0.000,0.000
Linux,0.14,104,118,0.686,0.198,0.865,0.558,0.492,0.523
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,47,50,0.987,0.666,0.845,0.532,0.500,0.515
Hadoop,0.14,92,114,0.929,0.166,0.796,0.326,0.263,0.291
HealthApp,0.11,68,75,0.888,0.422,0.853,0.618,0.560,0.587
OpenStack,0.18,33,43,0.341,0.018,0.711,0.091,0.070,0.079
HPC,0.10,43,46,0.909,0.872,0.921,0.767,0.717,0.742
Mac,0.22,294,341,0.823,0.392,0.787,0.425,0.367,0.394
OpenSSH,0.12,20,26,0.281,0.073,0.652,0.200,0.154,0.174
Spark,0.12,29,36,0.920,0.396,0.769,0.414,0.333,0.369
Thunderbird,0.17,166,149,0.915,0.379,0.844,0.482,0.537,0.508
BGL,0.14,92,120,0.870,0.859,0.632,0.554,0.425,0.481
HDFS,0.12,13,14,0.731,0.000,0.889,0.000,0.000,0.000
