,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.62,0.91,1.03,1.75,4.49,3.99,8.88,7.4,5.35,15.55,439.74,439.35,108.17,286.33,94.54
identified_templates,10.0,315.0,16.0,58.0,263.0,145.0,30.0,48.0,424.0,20.0,265.0,8011.0,304.0,19.0,709.143
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.0,0.728,0.287,0.761,0.706,0.905,0.666,0.768,0.399,0.243,0.328,0.249,0.653,0.208,0.493
PA,0.0,0.035,0.002,0.733,0.173,0.463,0.019,0.635,0.191,0.0,0.223,0.107,0.269,0.011,0.204
FGA,0.0,0.649,0.533,0.585,0.521,0.751,0.667,0.475,0.552,0.31,0.279,0.087,0.308,0.4,0.437
PTA,0.0,0.248,0.188,0.586,0.179,0.441,0.167,0.458,0.316,0.05,0.14,0.021,0.234,0.474,0.25
RTA,0.0,0.231,0.103,0.382,0.199,0.41,0.104,0.297,0.214,0.026,0.157,0.136,0.222,0.196,0.191
FTA,0.0,0.239,0.133,0.463,0.188,0.425,0.128,0.361,0.255,0.034,0.148,0.037,0.228,0.277,0.208
