Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.16,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.18,113,118,0.862,0.209,0.892,0.584,0.559,0.571
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.10,48,50,0.986,0.665,0.837,0.521,0.500,0.510
Hadoop,0.13,118,114,0.946,0.170,0.888,0.305,0.316,0.310
HealthApp,0.11,74,75,0.999,0.528,0.980,0.703,0.693,0.698
OpenStack,0.14,39,43,0.924,0.018,0.878,0.077,0.070,0.073
HPC,0.09,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.47,336,341,0.899,0.439,0.904,0.458,0.452,0.455
OpenSSH,0.20,71,26,0.553,0.128,0.392,0.056,0.154,0.082
Spark,0.19,30,36,0.922,0.396,0.818,0.400,0.333,0.364
Thunderbird,0.21,155,149,0.979,0.439,0.855,0.497,0.517,0.507
BGL,0.16,109,120,0.960,0.557,0.838,0.651,0.592,0.620
HDFS,0.15,14,14,1.000,0.166,1.000,0.143,0.143,0.143
