,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.17,0.14,0.1,0.13,0.13,0.11,0.18,0.12,0.27,0.17,0.12,0.16,0.2,0.09,0.149
identified_templates,14.0,131.0,6.0,52.0,116.0,73.0,43.0,43.0,350.0,176.0,33.0,185.0,127.0,14.0,97.357
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.516,0.421,1.0,0.991,0.98,0.902,0.491,0.909,0.911,0.432,0.922,0.683,0.941,1.0,0.793
PA,0.0,0.141,0.27,0.67,0.17,0.431,0.018,0.872,0.425,0.071,0.396,0.446,0.928,0.0,0.346
FGA,0.545,0.892,1.0,0.882,0.948,0.959,0.93,0.921,0.932,0.188,0.783,0.832,0.874,1.0,0.835
PTA,0.0,0.519,0.167,0.558,0.31,0.671,0.07,0.767,0.451,0.017,0.364,0.481,0.622,0.0,0.357
RTA,0.0,0.576,0.167,0.58,0.316,0.653,0.07,0.717,0.463,0.115,0.333,0.597,0.658,0.0,0.375
FTA,0.0,0.546,0.167,0.569,0.313,0.662,0.07,0.742,0.457,0.03,0.348,0.533,0.64,0.0,0.363
