,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.19,0.65,1.11,1.54,4.41,4.25,8.33,7.63,2.93,17.36,337.95,460.3,108.98,285.34,88.712
identified_templates,21.0,565.0,35.0,84.0,308.0,161.0,48.0,76.0,875.0,4830.0,438.0,8814.0,565.0,45.0,1204.643
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.504,0.189,0.993,0.987,0.617,0.962,0.524,0.86,0.818,0.307,0.858,0.563,0.921,1.0,0.722
PA,0.0,0.049,0.093,0.504,0.247,0.477,0.019,0.898,0.377,0.092,0.414,0.164,0.907,0.0,0.303
FGA,0.312,0.636,0.844,0.879,0.735,0.896,0.938,0.92,0.73,0.01,0.62,0.19,0.646,0.967,0.666
PTA,0.0,0.228,0.257,0.548,0.24,0.447,0.104,0.711,0.262,0.002,0.201,0.042,0.388,0.0,0.245
RTA,0.0,0.382,0.31,0.517,0.314,0.462,0.104,0.73,0.366,0.211,0.373,0.297,0.684,0.0,0.339
FTA,0.0,0.286,0.281,0.532,0.272,0.454,0.104,0.72,0.305,0.003,0.261,0.073,0.495,0.0,0.27
