Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.60,7,11,0.514,0.503,0.556,0.429,0.273,0.333
Linux,0.95,367,338,0.363,0.066,0.738,0.286,0.311,0.298
Apache,1.06,29,29,1.000,0.094,1.000,0.379,0.379,0.379
Zookeeper,1.72,76,89,0.985,0.815,0.836,0.711,0.607,0.655
Hadoop,4.49,286,236,0.842,0.245,0.682,0.248,0.301,0.272
HealthApp,3.75,157,156,0.928,0.479,0.837,0.439,0.442,0.441
OpenStack,8.42,41,48,0.881,0.019,0.831,0.122,0.104,0.112
HPC,8.03,78,74,0.710,0.708,0.724,0.564,0.595,0.579
Mac,5.52,613,626,0.805,0.371,0.736,0.361,0.353,0.357
OpenSSH,17.44,39,38,0.609,0.093,0.753,0.282,0.289,0.286
Spark,392.43,358,236,0.753,0.414,0.582,0.215,0.326,0.259
Thunderbird,440.97,8364,1241,0.680,0.216,0.152,0.036,0.240,0.062
BGL,110.60,393,320,0.748,0.347,0.499,0.313,0.384,0.345
HDFS,299.35,33,46,0.721,0.165,0.684,0.485,0.348,0.405
