,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.62,0.92,1.17,1.68,4.33,3.87,8.07,7.22,5.46,17.14,404.93,445.44,110.36,287.07,92.734
identified_templates,8.0,358.0,29.0,75.0,308.0,157.0,40.0,79.0,618.0,39.0,360.0,8371.0,398.0,33.0,776.643
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.339,1.0,0.985,0.577,0.929,0.871,0.741,0.814,0.609,0.751,0.546,0.741,0.721,0.725
PA,0.503,0.066,0.094,0.814,0.245,0.472,0.019,0.72,0.366,0.093,0.414,0.162,0.349,0.165,0.32
FGA,0.737,0.747,1.0,0.829,0.643,0.837,0.818,0.745,0.744,0.753,0.57,0.15,0.501,0.684,0.697
PTA,0.5,0.296,0.379,0.707,0.231,0.427,0.125,0.57,0.358,0.282,0.211,0.035,0.317,0.485,0.352
RTA,0.364,0.314,0.379,0.596,0.301,0.429,0.104,0.608,0.353,0.289,0.322,0.234,0.394,0.348,0.36
FTA,0.421,0.305,0.379,0.646,0.261,0.428,0.114,0.588,0.355,0.286,0.255,0.061,0.351,0.405,0.347
