,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.15,0.19,0.09,0.11,0.14,0.12,0.17,0.1,0.31,0.1,0.13,0.16,0.15,0.11,0.145
identified_templates,8.0,105.0,6.0,48.0,115.0,70.0,35.0,46.0,300.0,26.0,30.0,157.0,98.0,13.0,75.5
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.916,1.0,0.988,0.925,0.989,0.86,0.96,0.824,0.806,0.922,0.976,0.905,0.731,0.914
PA,0.0,0.269,0.27,0.667,0.167,0.517,0.018,0.71,0.42,0.128,0.396,0.44,0.525,0.166,0.335
FGA,1.0,0.861,1.0,0.878,0.83,0.897,0.795,0.935,0.789,0.885,0.818,0.843,0.752,0.889,0.869
PTA,0.0,0.6,0.167,0.562,0.278,0.629,0.086,0.674,0.443,0.154,0.4,0.503,0.602,0.154,0.375
RTA,0.0,0.534,0.167,0.54,0.281,0.587,0.07,0.674,0.39,0.154,0.333,0.53,0.492,0.143,0.35
FTA,0.0,0.565,0.167,0.551,0.279,0.607,0.077,0.674,0.415,0.154,0.364,0.516,0.541,0.148,0.361
