EventId,EventTemplate,Occurrences
d0bf916b,AppleThunderboltNHIType2::prePCIWake - power up complete - took  us,1019
7d94baea,AppleThunderboltGenericHAL::earlyWake - complete - took  milliseconds,1019
3bfbac76,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,532
999d5382,ARPT:  wl0: wl_update_tcpkeep_seq: Original Seq:  Ack:  Win size: ,442
dc92b7c2,Bluetooth -- LE is supported - Disable LE meta event,532
c9047e03,ARPT:  wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq  Ack  Win size ,440
85715dee,ARPT:  wl0: leaveModulePoweredForOffloads: Wi-Fi will  ,532
b7e0726a,ARPT:  AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],531
8aff6c08,ARPT:  AirPort_Brcm43xx::syncPowerState: WWEN[enabled],531
a485aa25,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port =  unplug = 0,1764
ec92d91e,AppleCamIn::systemWakeCall - messageType = ,2679
e827b350,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,532
16ebfe02,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = ,532
48034cb9,Wake reason: ?,198
f46646cd,AppleCamIn::wakeEventHandlerThread,1064
9eba2a13,RTC: PowerByCalendarDate setting ignored,252
0dfd2fde,Previous sleep cause: 5,532
719e535a,TBT W (2): 0x0040 [x],532
281ceac7,AirPort: Link Down on en0. Reason  (Disassociated   ,225
c2709257,en0: channel changed to ,1510
fdca1058,en0::IO80211Interface::postMessage bssid changed,600
f07e74f2,en0: 802.11d country code set to ,448
6eb045f0,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,223
