Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.64,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,1.01,362,338,0.354,0.061,0.789,0.318,0.340,0.329
Apache,1.12,32,29,0.997,0.094,0.918,0.344,0.379,0.361
Zookeeper,1.63,76,89,0.985,0.815,0.848,0.724,0.618,0.667
Hadoop,4.63,303,236,0.592,0.246,0.664,0.241,0.309,0.271
HealthApp,3.88,157,156,0.931,0.467,0.824,0.395,0.397,0.396
OpenStack,8.54,43,48,0.910,0.019,0.879,0.116,0.104,0.110
HPC,7.79,78,74,0.709,0.688,0.724,0.551,0.581,0.566
Mac,5.31,649,626,0.817,0.375,0.765,0.354,0.367,0.361
OpenSSH,18.30,43,38,0.331,0.093,0.667,0.256,0.289,0.272
Spark,389.71,368,236,0.886,0.414,0.570,0.209,0.326,0.255
Thunderbird,441.85,8423,1241,0.618,0.183,0.160,0.037,0.254,0.065
BGL,108.93,418,320,0.835,0.424,0.531,0.335,0.438,0.379
HDFS,293.48,36,46,1.000,0.444,0.732,0.528,0.413,0.463
