Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.20,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.17,100,118,0.973,0.325,0.853,0.580,0.492,0.532
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.14,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.15,115,114,0.925,0.167,0.830,0.278,0.281,0.279
HealthApp,0.11,70,75,0.989,0.517,0.897,0.629,0.587,0.607
OpenStack,0.17,36,43,0.881,0.018,0.835,0.083,0.070,0.076
HPC,0.11,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.34,311,341,0.875,0.429,0.847,0.444,0.405,0.423
OpenSSH,0.11,27,26,0.614,0.128,0.830,0.148,0.154,0.151
Spark,0.15,30,36,0.922,0.396,0.818,0.400,0.333,0.364
Thunderbird,0.16,154,149,0.974,0.438,0.825,0.487,0.503,0.495
BGL,0.15,101,120,0.867,0.481,0.742,0.574,0.483,0.525
HDFS,0.13,14,14,1.000,0.166,1.000,0.143,0.143,0.143
