,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.44,0.65,1.23,1.53,4.41,3.92,8.51,7.82,2.88,17.13,334.15,453.69,111.0,304.79,89.511
identified_templates,9.0,362.0,32.0,76.0,243.0,151.0,41.0,71.0,651.0,40.0,376.0,8423.0,418.0,36.0,780.643
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.354,0.997,0.985,0.633,0.987,0.435,0.823,0.816,0.39,0.857,0.618,0.835,1.0,0.732
PA,0.0,0.059,0.093,0.503,0.247,0.467,0.019,0.861,0.365,0.151,0.414,0.158,0.793,0.0,0.295
FGA,0.7,0.789,0.918,0.848,0.81,0.853,0.831,0.814,0.758,0.718,0.556,0.16,0.531,0.732,0.716
PTA,0.0,0.307,0.281,0.553,0.305,0.411,0.122,0.62,0.321,0.275,0.202,0.036,0.34,0.0,0.27
RTA,0.0,0.328,0.31,0.472,0.314,0.397,0.104,0.595,0.334,0.289,0.322,0.247,0.444,0.0,0.297
FTA,0.0,0.317,0.295,0.509,0.309,0.404,0.112,0.607,0.327,0.282,0.248,0.063,0.385,0.0,0.276
