,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.15,0.15,0.09,0.1,0.15,0.11,0.18,0.11,0.21,0.11,0.11,0.15,0.15,0.12,0.135
identified_templates,9.0,105.0,6.0,48.0,104.0,69.0,37.0,43.0,327.0,25.0,31.0,154.0,107.0,14.0,77.071
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.466,1.0,0.986,0.959,0.896,0.416,0.909,0.895,0.543,0.922,0.976,0.935,1.0,0.816
PA,0.0,0.197,0.27,0.665,0.169,0.425,0.018,0.872,0.416,0.073,0.396,0.438,0.91,0.0,0.346
FGA,0.824,0.87,1.0,0.837,0.881,0.875,0.825,0.921,0.889,0.784,0.806,0.845,0.802,1.0,0.868
PTA,0.0,0.543,0.167,0.521,0.327,0.609,0.081,0.767,0.434,0.16,0.387,0.487,0.636,0.0,0.366
RTA,0.0,0.483,0.167,0.5,0.298,0.56,0.07,0.717,0.416,0.154,0.333,0.503,0.567,0.0,0.341
FTA,0.0,0.511,0.167,0.51,0.312,0.583,0.075,0.742,0.425,0.157,0.358,0.495,0.599,0.0,0.352
