Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.19,21,11,0.504,0.000,0.312,0.000,0.000,0.000
Linux,0.65,565,338,0.189,0.049,0.636,0.228,0.382,0.286
Apache,1.11,35,29,0.993,0.093,0.844,0.257,0.310,0.281
Zookeeper,1.54,84,89,0.987,0.504,0.879,0.548,0.517,0.532
Hadoop,4.41,308,236,0.617,0.247,0.735,0.240,0.314,0.272
HealthApp,4.25,161,156,0.962,0.477,0.896,0.447,0.462,0.454
OpenStack,8.33,48,48,0.524,0.019,0.938,0.104,0.104,0.104
HPC,7.63,76,74,0.860,0.898,0.920,0.711,0.730,0.720
Mac,2.93,875,626,0.818,0.377,0.730,0.262,0.366,0.305
OpenSSH,17.36,4830,38,0.307,0.092,0.010,0.002,0.211,0.003
Spark,337.95,438,236,0.858,0.414,0.620,0.201,0.373,0.261
Thunderbird,460.30,8814,1241,0.563,0.164,0.190,0.042,0.297,0.073
BGL,108.98,565,320,0.921,0.907,0.646,0.388,0.684,0.495
HDFS,285.34,45,46,1.000,0.000,0.967,0.000,0.000,0.000
