,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,5.67,9.97,1.79,5.08,17.46,12.76,63.78,10.26,72.44,5.12,138.5,27.35,15.23,3.14,27.754
identified_templates,24.0,112.0,6.0,47.0,169.0,82.0,522.0,52.0,615.0,25.0,783.0,182.0,138.0,16.0,198.071
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.013,0.221,1.0,0.819,0.852,0.44,0.213,0.824,0.62,0.541,0.571,0.663,0.957,0.998,0.624
PA,0.0,0.028,0.0,0.451,0.08,0.027,0.0,0.632,0.037,0.0,0.003,0.018,0.08,0.0,0.097
FGA,0.062,0.852,1.0,0.742,0.572,0.713,0.057,0.592,0.527,0.706,0.063,0.743,0.798,0.867,0.592
PTA,0.0,0.107,0.0,0.234,0.071,0.183,0.0,0.365,0.029,0.0,0.006,0.132,0.087,0.0,0.087
RTA,0.0,0.102,0.0,0.22,0.105,0.2,0.0,0.413,0.053,0.0,0.139,0.161,0.1,0.0,0.107
FTA,0.0,0.104,0.0,0.227,0.085,0.191,0.0,0.388,0.038,0.0,0.012,0.145,0.093,0.0,0.092
