,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.73,3.25,0.98,4.53,6.31,3.51,5.53,26.54,70.69,7.06,3.18,14.78,106.5,1.54,18.295
identified_templates,7.0,17.0,7.0,39.0,23.0,67.0,38.0,150.0,228.0,29.0,15.0,16.0,128.0,13.0,55.5
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.493,0.107,0.731,0.782,0.632,0.092,0.839,0.382,0.517,0.442,0.543,0.755,0.232,0.508,0.504
PA,0.0,0.08,0.0,0.449,0.073,0.121,0.011,0.533,0.117,0.068,0.0,0.0,0.081,0.0,0.11
FGA,0.4,0.074,0.769,0.427,0.088,0.056,0.716,0.245,0.313,0.545,0.235,0.048,0.419,0.444,0.341
PTA,0.0,0.176,0.0,0.128,0.043,0.045,0.026,0.073,0.075,0.069,0.0,0.0,0.062,0.0,0.05
RTA,0.0,0.025,0.0,0.1,0.009,0.04,0.023,0.239,0.05,0.077,0.0,0.0,0.067,0.0,0.045
FTA,0.0,0.044,0.0,0.112,0.015,0.042,0.025,0.112,0.06,0.073,0.0,0.0,0.065,0.0,0.039
