,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.17,1.73,0.8,1.57,5.41,0.86,3.13,2.46,4.95,3.08,4.01,2.2,3.64,1.12,2.581
identified_templates,17.0,106.0,6.0,60.0,111.0,58.0,100.0,40.0,391.0,29.0,35.0,150.0,142.0,16.0,90.071
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.516,0.671,1.0,0.66,0.867,0.397,0.722,0.325,0.595,0.621,0.906,0.576,0.711,0.998,0.683
PA,0.0,0.11,0.0,0.428,0.083,0.04,0.018,0.226,0.156,0.133,0.004,0.02,0.065,0.01,0.092
FGA,0.48,0.768,1.0,0.491,0.782,0.632,0.266,0.395,0.669,0.655,0.732,0.736,0.58,0.867,0.647
PTA,0.0,0.33,0.0,0.117,0.153,0.224,0.03,0.075,0.156,0.172,0.2,0.173,0.077,0.062,0.126
RTA,0.0,0.297,0.0,0.14,0.149,0.173,0.07,0.065,0.179,0.192,0.194,0.174,0.092,0.071,0.128
FTA,0.0,0.312,0.0,0.127,0.151,0.195,0.042,0.07,0.167,0.182,0.197,0.174,0.084,0.067,0.126
