,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.12,0.17,0.09,0.12,0.13,0.11,0.17,0.1,0.34,0.12,0.15,0.17,0.14,0.13,0.147
identified_templates,8.0,100.0,6.0,48.0,118.0,74.0,43.0,47.0,342.0,26.0,31.0,155.0,117.0,14.0,80.643
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.973,1.0,0.988,0.951,0.999,1.0,0.994,0.906,0.806,0.997,0.979,0.984,1.0,0.97
PA,0.0,0.325,0.27,0.667,0.17,0.528,0.018,0.726,0.442,0.128,0.396,0.439,0.575,0.166,0.346
FGA,1.0,0.853,1.0,0.878,0.897,0.98,1.0,0.968,0.914,0.885,0.866,0.855,0.903,1.0,0.928
PTA,0.0,0.58,0.167,0.562,0.305,0.703,0.07,0.681,0.462,0.154,0.387,0.497,0.632,0.143,0.382
RTA,0.0,0.492,0.167,0.54,0.316,0.693,0.07,0.696,0.463,0.154,0.333,0.517,0.617,0.143,0.372
FTA,0.0,0.532,0.167,0.551,0.31,0.698,0.07,0.688,0.463,0.154,0.358,0.507,0.624,0.143,0.376
