Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.17,5,8,0.473,0.000,0.154,0.000,0.000,0.000
Linux,0.20,90,118,0.597,0.125,0.683,0.489,0.373,0.423
Apache,0.10,5,6,0.725,0.000,0.727,0.000,0.000,0.000
Zookeeper,0.14,37,50,0.753,0.492,0.667,0.459,0.340,0.391
Hadoop,0.14,112,114,0.872,0.099,0.788,0.232,0.228,0.230
HealthApp,0.11,66,75,0.979,0.514,0.809,0.621,0.547,0.582
OpenStack,0.18,25,43,0.682,0.018,0.618,0.120,0.070,0.088
HPC,0.11,38,46,0.882,0.663,0.690,0.579,0.478,0.524
Mac,0.31,196,341,0.486,0.244,0.510,0.362,0.208,0.264
OpenSSH,0.14,16,26,0.371,0.057,0.429,0.125,0.077,0.095
Spark,0.16,26,36,0.917,0.394,0.645,0.308,0.222,0.258
Thunderbird,0.17,118,149,0.828,0.374,0.659,0.492,0.389,0.434
BGL,0.14,65,120,0.676,0.304,0.476,0.462,0.250,0.324
HDFS,0.13,9,14,0.523,0.166,0.609,0.222,0.143,0.174
