,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.17,0.17,0.07,0.1,0.11,0.08,0.13,0.07,0.28,0.11,0.12,0.12,0.11,0.14,0.127
identified_templates,8.0,103.0,6.0,48.0,119.0,71.0,39.0,47.0,327.0,27.0,30.0,154.0,107.0,14.0,78.571
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,1.0,0.92,1.0,0.986,0.939,0.994,0.924,0.994,0.895,0.61,0.922,0.976,0.935,1.0,0.935
PA,0.0,0.269,0.27,0.665,0.17,0.523,0.018,0.726,0.435,0.128,0.396,0.439,0.55,0.166,0.34
FGA,1.0,0.887,1.0,0.837,0.876,0.918,0.878,0.968,0.889,0.755,0.818,0.845,0.802,1.0,0.891
PTA,0.0,0.602,0.167,0.521,0.303,0.648,0.077,0.681,0.453,0.148,0.4,0.5,0.626,0.143,0.376
RTA,0.0,0.525,0.167,0.5,0.316,0.613,0.07,0.696,0.434,0.154,0.333,0.517,0.558,0.143,0.359
FTA,0.0,0.561,0.167,0.51,0.309,0.63,0.073,0.688,0.443,0.151,0.364,0.508,0.59,0.143,0.367
