,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.64,1.01,1.12,1.63,4.63,3.88,8.54,7.79,5.31,18.3,389.71,441.85,108.93,293.48,91.916
identified_templates,8.0,362.0,32.0,76.0,303.0,157.0,43.0,78.0,649.0,43.0,368.0,8423.0,418.0,36.0,785.429
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.354,0.997,0.985,0.592,0.931,0.91,0.709,0.817,0.331,0.886,0.618,0.835,1.0,0.749
PA,0.503,0.061,0.094,0.815,0.246,0.467,0.019,0.688,0.375,0.093,0.414,0.183,0.424,0.444,0.345
FGA,0.737,0.789,0.918,0.848,0.664,0.824,0.879,0.724,0.765,0.667,0.57,0.16,0.531,0.732,0.701
PTA,0.5,0.318,0.344,0.724,0.241,0.395,0.116,0.551,0.354,0.256,0.209,0.037,0.335,0.528,0.351
RTA,0.364,0.34,0.379,0.618,0.309,0.397,0.104,0.581,0.367,0.289,0.326,0.254,0.438,0.413,0.37
FTA,0.421,0.329,0.361,0.667,0.271,0.396,0.11,0.566,0.361,0.272,0.255,0.065,0.379,0.463,0.351
