Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.17,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.17,103,118,0.920,0.269,0.887,0.602,0.525,0.561
Apache,0.07,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.10,48,50,0.986,0.665,0.837,0.521,0.500,0.510
Hadoop,0.11,119,114,0.939,0.170,0.876,0.303,0.316,0.309
HealthApp,0.08,71,75,0.994,0.523,0.918,0.648,0.613,0.630
OpenStack,0.13,39,43,0.924,0.018,0.878,0.077,0.070,0.073
HPC,0.07,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.28,327,341,0.895,0.435,0.889,0.453,0.434,0.443
OpenSSH,0.11,27,26,0.610,0.128,0.755,0.148,0.154,0.151
Spark,0.12,30,36,0.922,0.396,0.818,0.400,0.333,0.364
Thunderbird,0.12,154,149,0.976,0.439,0.845,0.500,0.517,0.508
BGL,0.11,107,120,0.935,0.550,0.802,0.626,0.558,0.590
HDFS,0.14,14,14,1.000,0.166,1.000,0.143,0.143,0.143
