Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.67,6,11,0.505,0.000,0.471,0.000,0.000,0.000
Linux,0.66,366,338,0.365,0.065,0.744,0.276,0.299,0.287
Apache,1.16,29,29,1.000,0.093,1.000,0.310,0.310,0.310
Zookeeper,1.49,76,89,0.986,0.504,0.848,0.566,0.483,0.521
Hadoop,4.09,226,236,0.909,0.245,0.844,0.314,0.301,0.307
HealthApp,4.17,146,156,0.981,0.476,0.841,0.445,0.417,0.430
OpenStack,8.65,38,48,0.385,0.019,0.744,0.132,0.104,0.116
HPC,7.10,70,74,0.823,0.880,0.792,0.614,0.581,0.597
Mac,2.76,614,626,0.794,0.359,0.734,0.321,0.315,0.318
OpenSSH,17.76,34,38,0.447,0.150,0.750,0.265,0.237,0.250
Spark,353.02,348,236,0.748,0.413,0.555,0.216,0.318,0.257
Thunderbird,447.02,8362,1241,0.678,0.193,0.151,0.035,0.234,0.060
BGL,110.82,390,320,0.745,0.717,0.504,0.321,0.391,0.352
HDFS,290.53,34,46,0.721,0.000,0.725,0.000,0.000,0.000
