Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.23,6,8,0.976,0.000,0.714,0.000,0.000,0.000
Linux,0.15,105,118,0.403,0.198,0.843,0.552,0.492,0.520
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.14,94,114,0.933,0.166,0.788,0.319,0.263,0.288
HealthApp,0.11,68,75,0.888,0.422,0.853,0.618,0.560,0.587
OpenStack,0.18,32,43,0.331,0.018,0.693,0.094,0.070,0.080
HPC,0.11,42,46,0.875,0.856,0.886,0.762,0.696,0.727
Mac,0.21,292,341,0.805,0.390,0.758,0.418,0.358,0.385
OpenSSH,0.12,22,26,0.489,0.073,0.792,0.182,0.154,0.167
Spark,0.11,29,36,0.920,0.396,0.769,0.414,0.333,0.369
Thunderbird,0.16,157,149,0.975,0.440,0.850,0.503,0.530,0.516
BGL,0.14,97,120,0.904,0.885,0.737,0.598,0.483,0.535
HDFS,0.12,13,14,0.731,0.000,0.889,0.000,0.000,0.000
