,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.21,0.14,0.09,0.12,0.14,0.11,0.18,0.1,0.22,0.12,0.12,0.17,0.14,0.12,0.141
identified_templates,6.0,104.0,6.0,47.0,92.0,68.0,33.0,43.0,294.0,20.0,29.0,166.0,92.0,13.0,72.357
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.976,0.686,1.0,0.987,0.929,0.888,0.341,0.909,0.823,0.281,0.92,0.915,0.87,0.731,0.804
PA,0.0,0.198,0.27,0.666,0.166,0.422,0.018,0.872,0.392,0.073,0.396,0.379,0.859,0.0,0.336
FGA,0.714,0.865,1.0,0.845,0.796,0.853,0.711,0.921,0.787,0.652,0.769,0.844,0.632,0.889,0.806
PTA,0.0,0.558,0.167,0.532,0.326,0.618,0.091,0.767,0.425,0.2,0.414,0.482,0.554,0.0,0.367
RTA,0.0,0.492,0.167,0.5,0.263,0.56,0.07,0.717,0.367,0.154,0.333,0.537,0.425,0.0,0.328
FTA,0.0,0.523,0.167,0.515,0.291,0.587,0.079,0.742,0.394,0.174,0.369,0.508,0.481,0.0,0.345
