,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,2.04,0.79,1.2,1.86,4.69,4.04,8.69,7.57,2.85,18.83,382.54,448.42,112.14,313.05,93.479
identified_templates,6.0,370.0,29.0,76.0,222.0,146.0,38.0,72.0,608.0,34.0,346.0,8375.0,387.0,34.0,767.357
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.505,0.799,1.0,0.986,0.838,0.981,0.385,0.854,0.803,0.447,0.75,0.698,0.746,0.721,0.751
PA,0.0,0.048,0.093,0.504,0.206,0.476,0.019,0.892,0.359,0.15,0.413,0.193,0.72,0.0,0.291
FGA,0.471,0.757,1.0,0.848,0.825,0.841,0.744,0.836,0.742,0.75,0.533,0.149,0.498,0.725,0.694
PTA,0.0,0.284,0.31,0.566,0.306,0.445,0.132,0.639,0.329,0.265,0.205,0.035,0.323,0.0,0.274
RTA,0.0,0.311,0.31,0.483,0.288,0.417,0.104,0.622,0.319,0.237,0.301,0.234,0.391,0.0,0.287
FTA,0.0,0.297,0.31,0.521,0.297,0.43,0.116,0.63,0.324,0.25,0.244,0.06,0.354,0.0,0.274
