Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.20,11,8,0.526,0.000,0.737,0.000,0.000,0.000
Linux,0.17,115,118,0.407,0.138,0.876,0.530,0.517,0.524
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.13,50,50,0.991,0.670,0.900,0.580,0.580,0.580
Hadoop,0.15,109,114,0.982,0.169,0.924,0.312,0.298,0.305
HealthApp,0.12,72,75,0.901,0.430,0.939,0.667,0.640,0.653
OpenStack,0.18,41,43,0.491,0.018,0.952,0.073,0.070,0.071
HPC,0.11,43,46,0.909,0.872,0.921,0.767,0.717,0.742
Mac,0.22,343,341,0.905,0.421,0.915,0.443,0.446,0.444
OpenSSH,0.14,30,26,0.489,0.073,0.714,0.133,0.154,0.143
Spark,0.11,33,36,0.922,0.396,0.783,0.364,0.333,0.348
Thunderbird,0.16,159,149,0.977,0.440,0.864,0.497,0.530,0.513
BGL,0.15,117,120,0.984,0.935,0.903,0.641,0.625,0.633
HDFS,0.11,14,14,1.000,0.000,1.000,0.000,0.000,0.000
