Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.12,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.17,100,118,0.973,0.325,0.853,0.580,0.492,0.532
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.13,118,114,0.951,0.170,0.897,0.305,0.316,0.310
HealthApp,0.11,74,75,0.999,0.528,0.980,0.703,0.693,0.698
OpenStack,0.17,43,43,1.000,0.018,1.000,0.070,0.070,0.070
HPC,0.10,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.34,342,341,0.906,0.442,0.914,0.462,0.463,0.463
OpenSSH,0.12,26,26,0.806,0.128,0.885,0.154,0.154,0.154
Spark,0.15,31,36,0.997,0.396,0.866,0.387,0.333,0.358
Thunderbird,0.17,155,149,0.979,0.439,0.855,0.497,0.517,0.507
BGL,0.14,117,120,0.984,0.575,0.903,0.632,0.617,0.624
HDFS,0.13,14,14,1.000,0.166,1.000,0.143,0.143,0.143
