Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.44,9,11,0.521,0.000,0.700,0.000,0.000,0.000
Linux,0.65,362,338,0.354,0.059,0.789,0.307,0.328,0.317
Apache,1.23,32,29,0.997,0.093,0.918,0.281,0.310,0.295
Zookeeper,1.53,76,89,0.985,0.503,0.848,0.553,0.472,0.509
Hadoop,4.41,243,236,0.633,0.247,0.810,0.305,0.314,0.309
HealthApp,3.92,151,156,0.987,0.467,0.853,0.411,0.397,0.404
OpenStack,8.51,41,48,0.435,0.019,0.831,0.122,0.104,0.112
HPC,7.82,71,74,0.823,0.861,0.814,0.620,0.595,0.607
Mac,2.88,651,626,0.816,0.365,0.758,0.321,0.334,0.327
OpenSSH,17.13,40,38,0.390,0.151,0.718,0.275,0.289,0.282
Spark,334.15,376,236,0.857,0.414,0.556,0.202,0.322,0.248
Thunderbird,453.69,8423,1241,0.618,0.158,0.160,0.036,0.247,0.063
BGL,111.00,418,320,0.835,0.793,0.531,0.340,0.444,0.385
HDFS,304.79,36,46,1.000,0.000,0.732,0.000,0.000,0.000
