,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,OpenStack,HPC,Mac,OpenSSH,HDFS,Average
parse_time,59.4,15.8,45.14,47.09,1751.31,820.82,11387.85,261.64,403.02,6828.02,2162.009
identified_templates,42.0,639.0,31.0,162.0,6575.0,105.0,3152.0,7600.0,42.0,43.0,1839.1
ground_templates,11.0,338.0,29.0,89.0,236.0,48.0,74.0,626.0,38.0,46.0,153.5
GA,0.686,0.806,0.993,0.857,0.796,0.861,0.793,0.701,0.748,0.999,0.824
PA,0.495,0.035,0.031,0.683,0.052,0.019,0.642,0.121,0.142,0.137,0.236
FGA,0.226,0.616,0.9,0.661,0.059,0.444,0.035,0.107,0.8,0.831,0.468
PTA,0.095,0.13,0.258,0.204,0.005,0.048,0.008,0.012,0.19,0.419,0.137
RTA,0.364,0.246,0.276,0.371,0.136,0.104,0.324,0.141,0.211,0.391,0.256
FTA,0.151,0.17,0.267,0.263,0.009,0.065,0.015,0.021,0.2,0.404,0.156
