,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.6,1.22,0.92,1.74,4.5,4.03,8.88,7.7,4.88,18.91,414.78,482.88,122.05,320.28,99.526
identified_templates,8.0,358.0,29.0,75.0,312.0,159.0,47.0,79.0,712.0,39.0,393.0,8457.0,446.0,41.0,796.786
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.374,1.0,0.985,0.589,0.94,0.98,0.741,0.816,0.609,0.974,0.577,0.892,1.0,0.786
PA,0.503,0.077,0.094,0.814,0.247,0.476,0.019,0.72,0.383,0.093,0.414,0.183,0.462,0.444,0.352
FGA,0.737,0.773,1.0,0.829,0.664,0.838,0.968,0.745,0.798,0.753,0.633,0.161,0.58,0.851,0.738
PTA,0.5,0.304,0.379,0.707,0.237,0.409,0.106,0.57,0.355,0.282,0.214,0.038,0.365,0.463,0.352
RTA,0.364,0.322,0.379,0.596,0.314,0.417,0.104,0.608,0.404,0.289,0.356,0.262,0.509,0.413,0.381
FTA,0.421,0.313,0.379,0.646,0.27,0.413,0.105,0.588,0.378,0.286,0.267,0.067,0.426,0.437,0.357
