,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.16,0.15,0.09,0.12,0.14,0.12,0.19,0.12,0.21,0.12,0.13,0.16,0.15,0.12,0.141
identified_templates,9.0,106.0,6.0,48.0,94.0,68.0,31.0,42.0,300.0,22.0,30.0,157.0,98.0,13.0,73.143
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.462,1.0,0.988,0.936,0.891,0.32,0.875,0.824,0.489,0.922,0.976,0.905,0.731,0.775
PA,0.0,0.198,0.27,0.667,0.166,0.42,0.018,0.856,0.403,0.073,0.396,0.439,0.886,0.0,0.342
FGA,0.824,0.848,1.0,0.878,0.808,0.853,0.676,0.886,0.789,0.792,0.818,0.843,0.752,0.889,0.833
PTA,0.0,0.547,0.167,0.562,0.319,0.588,0.097,0.762,0.437,0.182,0.4,0.49,0.612,0.0,0.369
RTA,0.0,0.492,0.167,0.54,0.263,0.533,0.07,0.696,0.384,0.154,0.333,0.517,0.5,0.0,0.332
FTA,0.0,0.518,0.167,0.551,0.288,0.559,0.081,0.727,0.409,0.167,0.364,0.503,0.55,0.0,0.349
