,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.54,0.66,1.21,1.53,4.19,3.87,8.45,7.53,2.9,17.62,385.25,459.28,108.67,301.94,93.189
identified_templates,9.0,358.0,29.0,75.0,224.0,148.0,36.0,72.0,619.0,36.0,363.0,8371.0,398.0,33.0,769.357
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.339,1.0,0.985,0.635,0.981,0.365,0.854,0.814,0.668,0.721,0.546,0.741,0.721,0.706
PA,0.0,0.065,0.093,0.503,0.245,0.468,0.019,0.892,0.359,0.151,0.413,0.137,0.718,0.0,0.29
FGA,0.7,0.747,1.0,0.829,0.83,0.842,0.714,0.836,0.741,0.811,0.561,0.15,0.501,0.684,0.71
PTA,0.0,0.285,0.31,0.533,0.317,0.426,0.139,0.639,0.325,0.306,0.207,0.034,0.322,0.0,0.274
RTA,0.0,0.302,0.31,0.449,0.301,0.404,0.104,0.622,0.321,0.289,0.318,0.227,0.4,0.0,0.289
FTA,0.0,0.293,0.31,0.488,0.309,0.414,0.119,0.63,0.323,0.297,0.25,0.059,0.357,0.0,0.275
