Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.19,6,8,0.976,0.000,0.714,0.000,0.000,0.000
Linux,0.13,104,118,0.228,0.198,0.838,0.558,0.492,0.523
Apache,0.08,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.09,47,50,0.987,0.666,0.845,0.532,0.500,0.515
Hadoop,0.12,92,114,0.939,0.166,0.796,0.326,0.263,0.291
HealthApp,0.13,68,75,0.888,0.422,0.853,0.618,0.560,0.587
OpenStack,0.15,32,43,0.331,0.018,0.693,0.094,0.070,0.080
HPC,0.10,42,46,0.875,0.856,0.886,0.762,0.696,0.727
Mac,0.20,287,341,0.801,0.386,0.761,0.418,0.352,0.382
OpenSSH,0.11,20,26,0.487,0.073,0.696,0.200,0.154,0.174
Spark,0.11,29,36,0.920,0.396,0.769,0.414,0.333,0.369
Thunderbird,0.16,159,149,0.914,0.379,0.857,0.503,0.537,0.519
BGL,0.15,97,120,0.894,0.875,0.710,0.567,0.458,0.507
HDFS,0.12,13,14,0.731,0.000,0.889,0.000,0.000,0.000
