Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.15,6,8,0.976,0.000,0.714,0.000,0.000,0.000
Linux,0.19,103,118,0.682,0.210,0.851,0.602,0.525,0.561
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.13,47,50,0.987,0.666,0.845,0.532,0.500,0.515
Hadoop,0.15,113,114,0.921,0.167,0.811,0.283,0.281,0.282
HealthApp,0.12,70,75,0.986,0.519,0.897,0.657,0.613,0.634
OpenStack,0.21,36,43,0.871,0.018,0.810,0.083,0.070,0.076
HPC,0.11,46,46,0.960,0.710,0.935,0.674,0.674,0.674
Mac,0.33,287,341,0.801,0.403,0.761,0.422,0.355,0.385
OpenSSH,0.09,22,26,0.553,0.128,0.667,0.182,0.154,0.167
Spark,0.12,29,36,0.920,0.396,0.769,0.414,0.333,0.369
Thunderbird,0.17,159,149,0.914,0.380,0.857,0.516,0.550,0.532
BGL,0.15,97,120,0.894,0.515,0.710,0.557,0.450,0.498
HDFS,0.14,13,14,0.731,0.166,0.889,0.154,0.143,0.148
