Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.62,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,0.92,358,338,0.339,0.066,0.747,0.296,0.314,0.305
Apache,1.17,29,29,1.000,0.094,1.000,0.379,0.379,0.379
Zookeeper,1.68,75,89,0.985,0.814,0.829,0.707,0.596,0.646
Hadoop,4.33,308,236,0.577,0.245,0.643,0.231,0.301,0.261
HealthApp,3.87,157,156,0.929,0.472,0.837,0.427,0.429,0.428
OpenStack,8.07,40,48,0.871,0.019,0.818,0.125,0.104,0.114
HPC,7.22,79,74,0.741,0.720,0.745,0.570,0.608,0.588
Mac,5.46,618,626,0.814,0.366,0.744,0.358,0.353,0.355
OpenSSH,17.14,39,38,0.609,0.093,0.753,0.282,0.289,0.286
Spark,404.93,360,236,0.751,0.414,0.570,0.211,0.322,0.255
Thunderbird,445.44,8371,1241,0.546,0.162,0.150,0.035,0.234,0.061
BGL,110.36,398,320,0.741,0.349,0.501,0.317,0.394,0.351
HDFS,287.07,33,46,0.721,0.165,0.684,0.485,0.348,0.405
