Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,2.05,10,11,0.000,0.000,0.000,0.000,0.000,0.000
Linux,0.59,315,338,0.728,0.035,0.649,0.244,0.228,0.236
Apache,1.10,16,29,0.287,0.002,0.533,0.188,0.103,0.133
Zookeeper,1.71,58,89,0.761,0.472,0.585,0.431,0.281,0.340
Hadoop,4.72,159,236,0.712,0.172,0.597,0.264,0.178,0.213
HealthApp,4.03,135,156,0.952,0.454,0.749,0.437,0.378,0.405
OpenStack,8.82,25,48,0.160,0.019,0.548,0.200,0.104,0.137
HPC,7.24,43,74,0.825,0.808,0.530,0.535,0.311,0.393
Mac,2.76,424,626,0.399,0.182,0.552,0.276,0.187,0.223
OpenSSH,15.76,17,38,0.243,0.000,0.327,0.059,0.026,0.036
Spark,334.36,265,236,0.328,0.222,0.279,0.143,0.161,0.152
Thunderbird,444.74,8011,1241,0.249,0.106,0.087,0.020,0.131,0.035
BGL,106.87,304,320,0.653,0.637,0.308,0.237,0.225,0.231
HDFS,303.08,19,46,0.208,0.000,0.400,0.000,0.000,0.000
