Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.16,9,8,0.526,0.000,0.824,0.000,0.000,0.000
Linux,0.15,106,118,0.462,0.198,0.848,0.547,0.492,0.518
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.12,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.14,94,114,0.936,0.166,0.808,0.319,0.263,0.288
HealthApp,0.12,68,75,0.891,0.420,0.853,0.588,0.533,0.559
OpenStack,0.19,31,43,0.320,0.018,0.676,0.097,0.070,0.081
HPC,0.12,42,46,0.875,0.856,0.886,0.762,0.696,0.727
Mac,0.21,300,341,0.824,0.403,0.789,0.437,0.384,0.409
OpenSSH,0.12,22,26,0.489,0.073,0.792,0.182,0.154,0.167
Spark,0.13,30,36,0.922,0.396,0.818,0.400,0.333,0.364
Thunderbird,0.16,157,149,0.976,0.439,0.843,0.490,0.517,0.503
BGL,0.15,98,120,0.905,0.886,0.752,0.612,0.500,0.550
HDFS,0.12,13,14,0.731,0.000,0.889,0.000,0.000,0.000
