,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.64,1.01,1.2,1.79,4.27,4.25,8.6,7.59,5.27,18.06,441.27,448.35,107.79,280.59,95.049
identified_templates,6.0,370.0,29.0,76.0,281.0,156.0,41.0,79.0,607.0,36.0,346.0,8375.0,387.0,34.0,773.071
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.505,0.799,1.0,0.986,0.774,0.929,0.881,0.741,0.803,0.331,0.75,0.698,0.746,0.721,0.762
PA,0.494,0.049,0.094,0.816,0.206,0.48,0.019,0.72,0.366,0.092,0.413,0.218,0.352,0.165,0.32
FGA,0.471,0.757,1.0,0.848,0.669,0.846,0.831,0.745,0.746,0.676,0.533,0.149,0.498,0.725,0.678
PTA,0.333,0.295,0.379,0.737,0.242,0.449,0.122,0.57,0.364,0.25,0.208,0.036,0.318,0.529,0.345
RTA,0.182,0.322,0.379,0.629,0.288,0.449,0.104,0.608,0.353,0.237,0.305,0.243,0.384,0.391,0.348
FTA,0.235,0.308,0.379,0.679,0.263,0.449,0.112,0.588,0.358,0.243,0.247,0.063,0.348,0.45,0.337
