Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.17,12,8,0.495,0.000,0.400,0.000,0.000,0.000
Linux,0.10,98,118,0.672,0.169,0.815,0.316,0.263,0.287
Apache,0.11,6,6,1.000,0.694,1.000,0.500,0.500,0.500
Zookeeper,0.15,53,50,0.921,0.496,0.718,0.302,0.320,0.311
Hadoop,0.19,131,114,0.869,0.262,0.702,0.214,0.246,0.229
HealthApp,0.17,310,75,0.568,0.163,0.306,0.065,0.267,0.104
OpenStack,0.20,33,43,0.757,0.018,0.658,0.091,0.070,0.079
HPC,0.12,50,46,0.903,0.659,0.750,0.420,0.457,0.437
Mac,0.18,292,341,0.763,0.166,0.758,0.185,0.158,0.171
OpenSSH,0.17,36,26,0.536,0.245,0.516,0.194,0.269,0.226
Spark,0.19,58,36,0.905,0.359,0.511,0.207,0.333,0.255
Thunderbird,0.18,199,149,0.941,0.036,0.695,0.176,0.235,0.201
BGL,0.16,107,120,0.957,0.342,0.819,0.224,0.200,0.211
HDFS,0.16,16,14,0.998,0.354,0.867,0.250,0.286,0.267
