Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.58,8,11,0.521,0.503,0.737,0.500,0.364,0.421
Linux,0.87,373,338,0.357,0.065,0.810,0.343,0.379,0.360
Apache,1.04,32,29,0.997,0.094,0.918,0.344,0.379,0.361
Zookeeper,1.77,76,89,0.985,0.815,0.848,0.724,0.618,0.667
Hadoop,4.59,302,236,0.582,0.246,0.654,0.242,0.309,0.271
HealthApp,3.91,159,156,0.940,0.476,0.838,0.409,0.417,0.413
OpenStack,8.19,44,48,0.930,0.019,0.891,0.114,0.104,0.109
HPC,7.29,78,74,0.709,0.688,0.724,0.551,0.581,0.566
Mac,5.06,681,626,0.803,0.374,0.757,0.345,0.375,0.360
OpenSSH,17.88,1594,38,0.308,0.093,0.031,0.007,0.289,0.013
Spark,390.05,374,236,0.973,0.414,0.590,0.219,0.347,0.269
Thunderbird,469.01,8457,1241,0.577,0.183,0.161,0.038,0.262,0.067
BGL,111.98,434,320,0.869,0.441,0.554,0.346,0.469,0.398
HDFS,298.20,41,46,1.000,0.444,0.851,0.463,0.413,0.437
