Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,6.26,300,8,0.516,0.000,0.039,0.000,0.000,0.000
Linux,3.79,96,118,0.612,0.097,0.794,0.281,0.229,0.252
Apache,2.04,6,6,1.000,0.694,1.000,0.500,0.500,0.500
Zookeeper,2.28,245,50,0.688,0.452,0.237,0.049,0.240,0.081
Hadoop,3.63,127,114,0.870,0.255,0.705,0.213,0.237,0.224
HealthApp,3.33,301,75,0.686,0.218,0.245,0.056,0.227,0.090
OpenStack,5.00,471,43,0.743,0.011,0.078,0.002,0.023,0.004
HPC,4.69,356,46,0.784,0.632,0.134,0.053,0.413,0.095
Mac,4.44,336,341,0.876,0.222,0.845,0.199,0.196,0.198
OpenSSH,3.75,637,26,0.429,0.068,0.054,0.003,0.077,0.006
Spark,4.30,23,36,0.576,0.167,0.441,0.174,0.111,0.136
Thunderbird,3.78,180,149,0.918,0.036,0.681,0.194,0.235,0.213
BGL,0.40,49,120,0.725,0.105,0.308,0.082,0.033,0.047
HDFS,1.02,15,14,0.851,0.000,0.759,0.000,0.000,0.000
