Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.45,9,11,0.521,0.000,0.700,0.000,0.000,0.000
Linux,0.65,372,338,0.358,0.064,0.814,0.333,0.367,0.349
Apache,1.14,32,29,0.997,0.093,0.918,0.281,0.310,0.295
Zookeeper,1.69,76,89,0.985,0.503,0.848,0.553,0.472,0.509
Hadoop,4.98,233,236,0.629,0.247,0.819,0.318,0.314,0.316
HealthApp,3.89,153,156,0.996,0.476,0.867,0.425,0.417,0.421
OpenStack,8.63,42,48,0.455,0.019,0.844,0.119,0.104,0.111
HPC,7.41,71,74,0.823,0.861,0.814,0.620,0.595,0.607
Mac,3.11,683,626,0.803,0.367,0.753,0.312,0.340,0.325
OpenSSH,18.21,1593,38,0.308,0.094,0.032,0.007,0.289,0.013
Spark,350.75,391,236,0.857,0.414,0.561,0.207,0.343,0.258
Thunderbird,444.91,8457,1241,0.577,0.158,0.161,0.037,0.255,0.065
BGL,108.58,434,320,0.869,0.809,0.554,0.350,0.475,0.403
HDFS,297.65,41,46,1.000,0.000,0.851,0.000,0.000,0.000
