Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.17,17,8,0.516,0.000,0.480,0.000,0.000,0.000
Linux,1.73,106,118,0.671,0.110,0.768,0.330,0.297,0.312
Apache,0.80,6,6,1.000,0.000,1.000,0.000,0.000,0.000
Zookeeper,1.57,60,50,0.660,0.428,0.491,0.117,0.140,0.127
Hadoop,5.41,111,114,0.867,0.083,0.782,0.153,0.149,0.151
HealthApp,0.86,58,75,0.397,0.040,0.632,0.224,0.173,0.195
OpenStack,3.13,100,43,0.722,0.018,0.266,0.030,0.070,0.042
HPC,2.46,40,46,0.325,0.226,0.395,0.075,0.065,0.070
Mac,4.95,391,341,0.595,0.156,0.669,0.156,0.179,0.167
OpenSSH,3.08,29,26,0.621,0.133,0.655,0.172,0.192,0.182
Spark,4.01,35,36,0.906,0.004,0.732,0.200,0.194,0.197
Thunderbird,2.20,150,149,0.576,0.020,0.736,0.173,0.174,0.174
BGL,3.64,142,120,0.711,0.065,0.580,0.077,0.092,0.084
HDFS,1.12,16,14,0.998,0.010,0.867,0.062,0.071,0.067
