Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.18,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.20,120,118,0.418,0.221,0.882,0.575,0.585,0.580
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.13,52,50,0.991,0.670,0.882,0.558,0.580,0.569
Hadoop,0.15,121,114,0.939,0.170,0.877,0.298,0.316,0.306
HealthApp,0.13,74,75,0.999,0.528,0.980,0.703,0.693,0.698
OpenStack,0.20,43,43,1.000,0.018,1.000,0.070,0.070,0.070
HPC,0.11,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.33,342,341,0.906,0.442,0.914,0.462,0.463,0.463
OpenSSH,0.14,33,26,0.431,0.117,0.610,0.121,0.154,0.136
Spark,0.15,31,36,0.997,0.396,0.866,0.387,0.333,0.358
Thunderbird,0.18,175,149,0.975,0.444,0.852,0.497,0.584,0.537
BGL,0.15,120,120,0.950,0.557,0.858,0.592,0.592,0.592
HDFS,0.15,14,14,1.000,0.166,1.000,0.143,0.143,0.143
