,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.48,0.65,1.11,1.88,4.68,4.11,9.82,8.07,2.9,19.13,335.01,447.59,109.96,298.44,88.916
identified_templates,11.0,376.0,35.0,79.0,270.0,153.0,45.0,74.0,687.0,1596.0,405.0,8489.0,446.0,41.0,907.643
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.521,0.216,0.993,0.986,0.656,0.996,0.505,0.86,0.81,0.308,0.858,0.579,0.892,1.0,0.727
PA,0.0,0.066,0.093,0.504,0.247,0.476,0.019,0.897,0.372,0.094,0.414,0.167,0.831,0.0,0.299
FGA,0.636,0.81,0.844,0.857,0.798,0.867,0.925,0.878,0.777,0.031,0.571,0.164,0.58,0.851,0.685
PTA,0.0,0.34,0.257,0.557,0.278,0.425,0.111,0.676,0.317,0.007,0.195,0.038,0.37,0.0,0.255
RTA,0.0,0.379,0.31,0.494,0.318,0.417,0.104,0.676,0.348,0.289,0.335,0.261,0.516,0.0,0.318
FTA,0.0,0.359,0.281,0.524,0.296,0.421,0.108,0.676,0.332,0.013,0.246,0.067,0.431,0.0,0.268
