,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.2,0.17,0.09,0.13,0.15,0.12,0.18,0.11,0.22,0.14,0.11,0.16,0.15,0.11,0.146
identified_templates,11.0,115.0,6.0,50.0,109.0,72.0,41.0,43.0,343.0,30.0,33.0,159.0,117.0,14.0,81.643
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.407,1.0,0.991,0.982,0.901,0.491,0.909,0.905,0.489,0.922,0.977,0.984,1.0,0.82
PA,0.0,0.138,0.27,0.67,0.169,0.43,0.018,0.872,0.421,0.073,0.396,0.44,0.935,0.0,0.345
FGA,0.737,0.876,1.0,0.9,0.924,0.939,0.952,0.921,0.915,0.714,0.783,0.864,0.903,1.0,0.888
PTA,0.0,0.53,0.167,0.58,0.312,0.667,0.073,0.767,0.443,0.133,0.364,0.497,0.641,0.0,0.37
RTA,0.0,0.517,0.167,0.58,0.298,0.64,0.07,0.717,0.446,0.154,0.333,0.53,0.625,0.0,0.363
FTA,0.0,0.524,0.167,0.58,0.305,0.653,0.071,0.742,0.444,0.143,0.348,0.513,0.633,0.0,0.366
