parser,dataset,mean_mask_agreement,token_parsing_accuracy,fit_duration,predict_mask_duration,total_duration
tipping,hpc,0.8783070859956896,0.47054691419969896,0.4105555973947048,5.552545189857483e-06,0.4105611499398947
tipping,zookeeper,0.9739967558224027,0.9961527202776732,0.5354448016732931,6.424263119697571e-06,0.5354512259364128
tipping,android,0.6527762795087222,0.8034910376446543,1.2595222406089306,8.415430784225464e-06,1.2595306560397148
tipping,apache,0.84605789638892,0.48686811635131316,0.28305092081427574,4.677101969718933e-06,0.28305559791624546
tipping,hadoop,0.8096953202915862,0.735008585391626,2.6475654616951942,2.399459481239319e-05,2.6475894562900066
tipping,hdfs,0.9963377911616286,0.9996494441469123,297.53653373010457,0.0001270826905965805,297.53666081279516
tipping,linux,0.9567819263030198,0.9215650756272077,0.3170354347676039,6.027519702911377e-06,0.3170414622873068
tipping,openstack,0.9234568764546147,0.720133392491663,4.794739877805114,1.4415010809898376e-05,4.794754292815924
tipping,proxifier,0.9497772432637535,0.9040888440181727,0.30980163998901844,6.917864084243774e-06,0.3098085578531027
tipping,ssh,0.6646328503427362,0.037337751096239435,3.7904100958257914,1.375935971736908e-05,3.7904238551855087
