Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.21,5,8,0.473,0.000,0.154,0.000,0.000,0.000
Linux,0.13,90,118,0.597,0.123,0.683,0.467,0.356,0.404
Apache,0.07,5,6,0.725,0.000,0.727,0.000,0.000,0.000
Zookeeper,0.11,37,50,0.753,0.492,0.667,0.459,0.340,0.391
Hadoop,0.14,84,114,0.862,0.097,0.687,0.262,0.193,0.222
HealthApp,0.11,61,75,0.877,0.413,0.721,0.541,0.440,0.485
OpenStack,0.17,20,43,0.142,0.018,0.476,0.150,0.070,0.095
HPC,0.10,34,46,0.820,0.809,0.650,0.676,0.500,0.575
Mac,0.19,196,341,0.486,0.228,0.510,0.362,0.208,0.264
OpenSSH,0.11,14,26,0.181,0.002,0.450,0.143,0.077,0.100
Spark,0.11,26,36,0.917,0.394,0.645,0.308,0.222,0.258
Thunderbird,0.15,118,149,0.828,0.373,0.659,0.475,0.376,0.419
BGL,0.14,65,120,0.676,0.665,0.476,0.477,0.258,0.335
HDFS,0.14,9,14,0.523,0.000,0.609,0.000,0.000,0.000
