Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.14,6,8,0.976,0.000,0.714,0.000,0.000,0.000
Linux,0.18,104,118,0.858,0.210,0.856,0.596,0.525,0.559
Apache,0.09,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.13,48,50,0.988,0.667,0.878,0.562,0.540,0.551
Hadoop,0.14,114,114,0.922,0.167,0.816,0.281,0.281,0.281
HealthApp,0.11,70,75,0.986,0.519,0.897,0.657,0.613,0.634
OpenStack,0.18,36,43,0.871,0.018,0.810,0.083,0.070,0.076
HPC,0.10,46,46,0.960,0.710,0.935,0.674,0.674,0.674
Mac,0.33,292,341,0.805,0.407,0.758,0.425,0.364,0.392
OpenSSH,0.12,25,26,0.802,0.128,0.824,0.160,0.154,0.157
Spark,0.16,29,36,0.920,0.396,0.769,0.414,0.333,0.369
Thunderbird,0.15,157,149,0.975,0.441,0.850,0.516,0.544,0.529
BGL,0.15,97,120,0.904,0.525,0.737,0.588,0.475,0.525
HDFS,0.13,13,14,0.731,0.166,0.889,0.154,0.143,0.148
