Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.22,8,8,1.000,0.000,1.000,0.000,0.000,0.000
Linux,0.16,116,118,0.407,0.209,0.872,0.569,0.559,0.564
Apache,0.10,6,6,1.000,0.270,1.000,0.167,0.167,0.167
Zookeeper,0.15,50,50,0.991,0.670,0.900,0.580,0.580,0.580
Hadoop,0.14,118,114,0.951,0.170,0.897,0.305,0.316,0.310
HealthApp,0.12,74,75,0.999,0.528,0.980,0.703,0.693,0.698
OpenStack,0.18,43,43,1.000,0.018,1.000,0.070,0.070,0.070
HPC,0.12,47,46,0.994,0.726,0.968,0.681,0.696,0.688
Mac,0.39,343,341,0.905,0.442,0.915,0.461,0.463,0.462
OpenSSH,0.13,76,26,0.427,0.117,0.314,0.053,0.154,0.078
Spark,0.13,31,36,0.997,0.396,0.866,0.387,0.333,0.358
Thunderbird,0.16,159,149,0.977,0.441,0.864,0.509,0.544,0.526
BGL,0.15,117,120,0.984,0.575,0.903,0.632,0.617,0.624
HDFS,0.13,14,14,1.000,0.166,1.000,0.143,0.143,0.143
