Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.62,10,11,0.000,0.000,0.000,0.000,0.000,0.000
Linux,0.91,315,338,0.728,0.035,0.649,0.248,0.231,0.239
Apache,1.03,16,29,0.287,0.002,0.533,0.188,0.103,0.133
Zookeeper,1.75,58,89,0.761,0.733,0.585,0.586,0.382,0.463
Hadoop,4.49,263,236,0.706,0.173,0.521,0.179,0.199,0.188
HealthApp,3.99,145,156,0.905,0.463,0.751,0.441,0.410,0.425
OpenStack,8.88,30,48,0.666,0.019,0.667,0.167,0.104,0.128
HPC,7.40,48,74,0.768,0.635,0.475,0.458,0.297,0.361
Mac,5.35,424,626,0.399,0.191,0.552,0.316,0.214,0.255
OpenSSH,15.55,20,38,0.243,0.000,0.310,0.050,0.026,0.034
Spark,439.74,265,236,0.328,0.223,0.279,0.140,0.157,0.148
Thunderbird,439.35,8011,1241,0.249,0.107,0.087,0.021,0.136,0.037
BGL,108.17,304,320,0.653,0.269,0.308,0.234,0.222,0.228
HDFS,286.33,19,46,0.208,0.011,0.400,0.474,0.196,0.277
