,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.84,0.65,1.32,1.52,4.22,4.1,8.7,7.33,2.78,19.33,354.07,441.35,114.59,291.19,89.499
identified_templates,7.0,367.0,29.0,76.0,225.0,147.0,37.0,71.0,614.0,36.0,360.0,8364.0,393.0,33.0,768.5
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.514,0.363,1.0,0.985,0.909,0.98,0.375,0.823,0.805,0.668,0.75,0.68,0.748,0.721,0.737
PA,0.0,0.065,0.093,0.503,0.245,0.475,0.019,0.88,0.364,0.151,0.413,0.192,0.716,0.0,0.294
FGA,0.556,0.738,1.0,0.836,0.85,0.832,0.729,0.814,0.732,0.811,0.577,0.152,0.499,0.684,0.701
PTA,0.0,0.275,0.31,0.539,0.316,0.435,0.135,0.634,0.327,0.306,0.211,0.034,0.318,0.0,0.274
RTA,0.0,0.299,0.31,0.461,0.301,0.41,0.104,0.608,0.321,0.289,0.322,0.231,0.391,0.0,0.289
FTA,0.0,0.287,0.31,0.497,0.308,0.422,0.118,0.621,0.324,0.297,0.255,0.06,0.351,0.0,0.275
