Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,0.40,8,8,0.025,0.000,0.375,0.000,0.000,0.000
Linux,0.35,106,118,0.279,0.025,0.795,0.151,0.136,0.143
Apache,0.34,6,6,1.000,0.688,1.000,0.333,0.333,0.333
Zookeeper,0.32,47,50,0.839,0.287,0.763,0.149,0.140,0.144
Hadoop,0.33,103,114,0.900,0.239,0.627,0.126,0.114,0.120
HealthApp,0.25,302,75,0.548,0.148,0.244,0.043,0.173,0.069
OpenStack,0.40,26,43,0.200,0.007,0.522,0.038,0.023,0.029
HPC,0.29,46,46,0.817,0.609,0.630,0.304,0.304,0.304
Mac,0.37,273,341,0.599,0.102,0.681,0.092,0.073,0.081
OpenSSH,0.35,31,26,0.500,0.164,0.667,0.161,0.192,0.175
Spark,0.37,29,36,0.994,0.356,0.769,0.207,0.167,0.185
Thunderbird,0.35,138,149,0.648,0.025,0.767,0.159,0.148,0.153
BGL,0.32,104,120,0.854,0.230,0.562,0.077,0.067,0.071
HDFS,0.35,15,14,0.885,0.155,0.759,0.067,0.071,0.069
