Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,2.04,6,11,0.505,0.000,0.471,0.000,0.000,0.000
Linux,0.79,370,338,0.799,0.048,0.757,0.284,0.311,0.297
Apache,1.20,29,29,1.000,0.093,1.000,0.310,0.310,0.310
Zookeeper,1.86,76,89,0.986,0.504,0.848,0.566,0.483,0.521
Hadoop,4.69,222,236,0.838,0.206,0.825,0.306,0.288,0.297
HealthApp,4.04,146,156,0.981,0.476,0.841,0.445,0.417,0.430
OpenStack,8.69,38,48,0.385,0.019,0.744,0.132,0.104,0.116
HPC,7.57,72,74,0.854,0.892,0.836,0.639,0.622,0.630
Mac,2.85,608,626,0.803,0.359,0.742,0.329,0.319,0.324
OpenSSH,18.83,34,38,0.447,0.150,0.750,0.265,0.237,0.250
Spark,382.54,346,236,0.750,0.413,0.533,0.205,0.301,0.244
Thunderbird,448.42,8375,1241,0.698,0.193,0.149,0.035,0.234,0.060
BGL,112.14,387,320,0.746,0.720,0.498,0.323,0.391,0.354
HDFS,313.05,34,46,0.721,0.000,0.725,0.000,0.000,0.000
