Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.48,11,11,0.521,0.000,0.636,0.000,0.000,0.000
Linux,0.65,376,338,0.216,0.066,0.810,0.340,0.379,0.359
Apache,1.11,35,29,0.993,0.093,0.844,0.257,0.310,0.281
Zookeeper,1.88,79,89,0.986,0.504,0.857,0.557,0.494,0.524
Hadoop,4.68,270,236,0.656,0.247,0.798,0.278,0.318,0.296
HealthApp,4.11,153,156,0.996,0.476,0.867,0.425,0.417,0.421
OpenStack,9.82,45,48,0.505,0.019,0.925,0.111,0.104,0.108
HPC,8.07,74,74,0.860,0.897,0.878,0.676,0.676,0.676
Mac,2.90,687,626,0.810,0.372,0.777,0.317,0.348,0.332
OpenSSH,19.13,1596,38,0.308,0.094,0.031,0.007,0.289,0.013
Spark,335.01,405,236,0.858,0.414,0.571,0.195,0.335,0.246
Thunderbird,447.59,8489,1241,0.579,0.167,0.164,0.038,0.261,0.067
BGL,109.96,446,320,0.892,0.831,0.580,0.370,0.516,0.431
HDFS,298.44,41,46,1.000,0.000,0.851,0.000,0.000,0.000
