Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.42,18,8,0.518,0.000,0.462,0.000,0.000,0.000
Linux,1.35,13,118,0.296,0.120,0.076,0.154,0.017,0.031
Apache,1.29,10,6,0.731,0.424,0.625,0.200,0.333,0.250
Zookeeper,1.28,36,50,0.726,0.451,0.442,0.167,0.120,0.140
Hadoop,1.27,13,114,0.422,0.218,0.094,0.154,0.018,0.031
HealthApp,1.21,12,75,0.331,0.323,0.092,0.250,0.040,0.069
OpenStack,1.28,28,43,0.867,0.076,0.732,0.250,0.163,0.197
HPC,1.28,37,46,0.839,0.645,0.530,0.378,0.304,0.337
Mac,1.60,232,341,0.557,0.174,0.457,0.177,0.120,0.143
OpenSSH,1.29,19,26,0.521,0.298,0.400,0.316,0.231,0.267
Spark,1.29,31,36,0.685,0.377,0.358,0.129,0.111,0.119
Thunderbird,1.50,29,149,0.882,0.008,0.213,0.034,0.007,0.011
BGL,1.36,79,120,0.573,0.198,0.302,0.152,0.100,0.121
HDFS,1.35,11,14,0.545,0.287,0.320,0.182,0.143,0.160
